wl (nm),eff
499.7049561,0.01019475
499.9278259,0.010306291
500.1506653,0.013822589
500.3735657,0.004410591
500.5964355,-0.008011659
500.8193359,0.020093902
501.0422668,0.016441148
501.2651978,0.015651749
501.4881287,0.010637458
501.7110901,0.015909806
501.9340515,0.003690552
502.1570129,0.003645405
502.3800049,-0.00391285
502.6030273,0.022100806
502.8260193,-0.005667908
503.0490417,0.006283978
503.2720947,-0.007023001
503.4951477,-0.003158522
503.7182007,0.01082058
503.9412842,0.002330058
504.1643677,0.006028387
504.3874817,-0.011212312
504.6105957,-0.007650082
504.8337097,0.010594194
505.0568542,0.005769555
505.2799988,0.001177801
505.5031433,0.009247781
505.7263184,0.012424246
505.9495239,-5.08565E-05
506.172699,0.02499103
506.3959045,0.022859883
506.6191406,0.011989332
506.8423767,0.006731268
507.0656128,0.016746903
507.2888794,0.021517371
507.512146,0.004948985
507.7354431,0.020385299
507.9587402,0.027928431
508.1820374,0.028592607
508.405365,0.042470745
508.6286926,0.014748599
508.8520508,0.007222325
509.0754089,0.028154704
509.2987671,0.013318738
509.5221558,0.034030996
509.7455444,0.029079765
509.9689331,0.006249015
510.1923523,0.015497272
510.415802,0.020298497
510.6392212,0.026490838
510.8626709,0.013564059
511.0861511,0.021727327
511.3096313,0.017950667
511.5331116,0.02054526
511.7566223,0.036383069
511.9801331,0.016924098
512.2036743,0.01250709
512.4271851,0.016031876
512.6507568,0.018619186
512.8743286,0.011111039
513.0979004,0.019443647
513.3214722,0.046275201
513.545105,0.013862402
513.7686768,0.023889298
513.9923096,0.047136067
514.2159424,0.034606131
514.4395752,0.042609696
514.663269,0.025852822
514.8869629,0.03000522
515.1105957,0.030659315
515.3342896,0.014127699
515.5580444,0.029009216
515.7817383,0.031564297
516.0054932,0.013243928
516.229248,0.02696837
516.4530029,0.024630638
516.6767578,0.037261859
516.9005127,0.041628119
517.1243286,0.022148831
517.3481445,0.047718058
517.5719604,0.030433519
517.7957764,0.03780598
518.0195923,0.039179314
518.2434692,0.034501457
518.4673462,0.040915542
518.6912231,0.03403023
518.9151001,0.020467939
519.1389771,0.021705953
519.362915,0.047090384
519.586853,0.031780213
519.810791,0.032084926
520.034729,0.017403845
520.258667,0.023414929
520.482666,0.025505233
520.706665,0.026269435
520.9306641,0.014230217
521.1546631,0.033477826
521.3786621,0.027785834
521.6027222,0.019689613
521.8267212,0.018469433
522.0507813,0.029412471
522.2748413,0.015762884
522.4989624,0.012064978
522.7230225,0.003642396
522.9471436,0.009004234
523.1712646,0.012273197
523.3953857,0.009010619
523.6195068,-0.002886774
523.843689,0.022413931
524.0678711,0.003327642
524.2920532,0.011685692
524.5162354,0.018018739
524.7404175,0.010349138
524.9645996,0.01511138
525.1888428,0.03157155
525.4130859,0.016537447
525.6373291,0.025139119
525.8615723,0.025622373
526.0858765,0.024975569
526.3101196,0.028632561
526.5344238,0.04341573
526.758728,0.038053222
526.9830933,0.030102702
527.2073975,0.036348273
527.4317627,0.054716661
527.6560669,0.046842598
527.8804321,0.060623034
528.1048584,0.057233398
528.3292236,0.061466019
528.5536499,0.052565497
528.7780151,0.055993991
529.0024414,0.066509232
529.2269287,0.070049548
529.451355,0.06837094
529.6757813,0.08765534
529.9002686,0.094291246
530.1247559,0.088340698
530.3492432,0.077809807
530.5737915,0.094063613
530.7982788,0.08457353
531.0228271,0.086521261
531.2473755,0.108155018
531.4719238,0.086865646
531.6964722,0.10451902
531.9210815,0.107719454
532.1456299,0.116227073
532.3702393,0.128270351
532.5948486,0.118104182
532.819519,0.137464694
533.0441284,0.148284023
533.2687988,0.146195478
533.4934692,0.155445441
533.7181396,0.149227573
533.9428101,0.150593807
534.1674805,0.172178494
534.3922119,0.1793321
534.6169434,0.186198035
534.8416748,0.182547295
535.0664063,0.185090239
535.2911377,0.197975296
535.5159302,0.178926203
535.7407227,0.191491838
535.9655151,0.200852484
536.1903076,0.199444874
536.4151001,0.227633551
536.6399536,0.210286687
536.8647461,0.229063079
537.0895996,0.219127347
537.3144531,0.229862428
537.5393677,0.226918537
537.7642212,0.235367264
537.9891357,0.226964103
538.2140503,0.220300301
538.4389648,0.220547132
538.6638794,0.225369526
538.8887939,0.218683475
539.1137695,0.202678593
539.3387451,0.208084254
539.5637207,0.205150636
539.7886963,0.204668264
540.0136719,0.266152682
540.2387085,0.196284107
